《1743-0000》,# カンマ区切りテキスト形式です。
《1743-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1743-0020》,# ・表の区画内での改行は“/”で表記します。
《1743-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1743-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1743-0050》,# 外部リンク
《1743-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/205 ～ 210
《1743-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1743g　(GitHub上データを表成型)
《1743-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1743h　(翻刻編集データを表成型 - 未実装)
《1743-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1743-0100》,《版元》,出版地○○,出版元□□□,　
《1743-0670》,《暦日1》,十三／,ひのとのとり,やふる,火,　, あさまき たねかしよし
《1743-0680》,《暦日2》,十四／,つちのえいぬ,あやふ,木,　, かといてよし
《1743-0690》,《暦日0》,十五／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《1743-0700》,《暦日2》,十六／,かのえね,おさん,土,　,さい下しき 神よし めつもん  よめとり たねかしよし
《1743-0710》,《暦日0》,十七／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1743-0720》,《暦日2》,十八／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1743-0730》,《暦日0》,十九／,みつのとのう,たつ,,　,天火 らうしやく
《1743-0740》,《暦日2》,廿／,きのえたつ,のそく,火,　,●
《1743-0750》,《暦日0》,廿一／,きのとのみ,みつ,,　,十し
《1743-0760》,《暦日2》,廿二／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1743-0770》,《暦日0》,廿三／,ひのとのひつし,さたん,,　,神よし ちいみ
《1743-0780》,《暦日2》,廿四／,つちのえさる,とる,土,社日,神よし  たねまきよし
《1743-0790》,《暦日0》,廿五／,つちのとのとり,やふる,,　,大みやう
《1743-0800》,《暦日2》,廿六／,かのえいぬ,あやふ,金,　,大みやう わうまう  けんふくよし
《1743-0810》,《暦日0》,廿七／,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
《1743-0820》,《暦日1》,廿八／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
